Party,Category,Policy
Conservatives,Transport,"Invest £36 billion in local roads, rail and buses to drive regional growth, and boost rail connectivity in the Midlands"
Conservatives,Transport,Complete HS2 between London Euston and the West Midlands and support the growth of the rail freight sector
Conservatives,Transport,Create a new 'Great British Railways' body with the task of growing the role of the private sector
Conservatives,Transport,No new smart motorways
Conservatives,Transport,"Stop road pricing, reverse ULEZ expansion in London, and oppose Low Traffic Neighbourhoods"
Conservatives,Transport,"An additional £1 billion to support hundreds of new bus routes across the North and Midlands, and extend the £2 bus fare cap in England"
Green Party,Transport,"Invest an additional £19bn over five years to improve public transport, electrification, cycleways and footpaths"
Green Party,Transport,Increase annual public subsidies for rail and bus travel to £10bn within five years
Green Party,Transport,Bring the railways back into public ownership
Green Party,Transport,Oppose all new road building plans and provide £5bn per year to transition to electric vehicles
Green Party,Transport,"Restore the fuel-duty escalator and, as revenue declines, introduce of road-pricing"
Green Party,Transport,Give local authorities control over and funding for improved bus services
Green Party,Transport,Ensure £2.5bn a year is invested in new cycleways and footpaths
Labour,Transport,Bring railways into public ownership under Great British Railways
Labour,Transport,"Maintain and renew our road network, tackle congestion, and phase-out new cars with internal combustion engines by 2030"
Labour,Transport,"Give local leaders powers to franchise bus services, and lift the ban on municipal ownership"
Liberal Democrats,Transport,Significantly extend the electrification of Britain’s rail network and freeze rail fares
Liberal Democrats,Transport,Review the cancellation of the northern leg of HS2 and deliver Northern Powerhouse rail
Liberal Democrats,Transport,Create a new Railway Agency - a public body to join up the industry and hold train companies to account
Liberal Democrats,Transport,"Reintroduce the plug-in car grant, ensure every new car and small van is zero-emission from 2030, and give more of the roads budget to local councils"
Liberal Democrats,Transport,Boost bus services by giving local authorities more powers to franchise services and simplifying funding
Liberal Democrats,Transport,Create new cycling and walking networks with a new nationwide active travel strategy
Reform Party,Transport,"Improve existing rail and road links, and accelerate transport infrastructure on our coastal regions, Wales, the North, and the Midlands"
Reform Party,Transport,Save £25 billion by scrapping the rest of HS2
Reform Party,Transport,No more bans on petrol and diesel cars and no legal requirements for manufacturers to sell electric vehicles
Reform Party,Transport,Ban ULEZ Clean Air Zones and Low Traffic Neighbourhoods
Conservatives,Welfare,"Tighten up how the benefits system assesses capability for work, overhaul the fit note process, and introduce tougher sanctions rules"
Conservatives,Welfare,Accelerate the rollout of Universal Credit
Conservatives,Welfare,"Set combined household income at which a family will start losing Child Benefit to £120,000 (and no benefit at £160,000)"
Conservatives,Welfare,"Reform disability benefits to better reflect people’s genuine needs, and stop the number of PIP claims from rising unsustainably"
Green Party,Welfare,"Increase Universal Credit and legacy benefits by £40 a week, and scrap the bedroom tax"
Green Party,Welfare,"End the unfair five-week wait for benefits and, in the long term, push for the introduction of a Universal Basic Income"
Green Party,Welfare,Increase carer’s allowance by at least 10% a month
Green Party,Welfare,Abolish the two-child benefit cap
Green Party,Welfare,"Increase all disability benefits by 5%, and oppose plans to replace the Personal Independence Payment (PIP) cash payments with vouchers"
Labour,Welfare,Review Universal Credit
Liberal Democrats,Welfare,"Establish an independent commission to recommend annual increases in Universal Credit, and scrap the bedroom tax"
Liberal Democrats,Welfare,Reduce the wait for the first payment of Universal Credit from five weeks to five days
Liberal Democrats,Welfare,"Increase Carer’s Allowance and expand it to more carers, and stop pursuing carers for old overpayments"
Liberal Democrats,Welfare,"Remove the two-child limit and the benefit cap, and introduce an enhanced rate of Child Benefit for one-year-olds"
Liberal Democrats,Welfare,"Bring Work Capability Assessments in-house, make the Personal Independence Payment process more transparent, and stop unnecessary reassessments"
Reform Party,Welfare,"Reform benefit support and training to help people back into work, with particular focus on 16-34 year olds"
Reform Party,Welfare,All job seekers and those fit to work must find employment within four months or accept a job after two offers
Reform Party,Welfare,"Make Personal Independence Payment and Work Capability Assessments face-to-face, requiring independent medical assessments to prove eligibility"
